;Wavenumber;10.12.D;10.12.G;10.13.G;12.1.D;12.1.G;12.4.D;12.4.G;12.5.D;12.5.G
81;3919,0;99,937677;96,870883;99,815857;100,017551;96,881011;102,271789;97,352972;99,983878;98,77169
82;3918,0;99,94496;96,848868;99,842768;100,014449;96,891899;102,268022;97,352689;100,004078;98,778381
83;3917,0;99,922433;96,848859;99,870955;99,980922;96,91646;102,218314;97,363371;100,003078;98,800129
84;3916,0;99,880169;96,870938;99,897911;99,936902;96,949346;102,151392;97,386728;99,982876;98,831654
85;3915,0;99,845924;96,903783;99,920598;99,914342;96,978627;102,110468;97,41564;99,961164;98,865152
86;3914,0;99,836809;96,939213;99,93285;99,926456;96,997476;102,112533;97,436071;99,954127;98,889431
87;3913,0;99,843361;96,969356;99,929216;99,957069;97,001911;102,137665;97,43066;99,962028;98,892017
88;3912,0;99,844517;96,981156;99,90968;99,979111;96,989518;102,156345;97,389894;99,974973;98,867632
89;3911,0;99,830064;96,964127;99,879749;99,977979;96,963319;102,154177;97,321751;99,983681;98,826423
90;3910,0;99,811478;96,921175;99,845947;99,96297;96,933032;102,139553;97,24855;99,986188;98,789372
91;3909,0;99,808689;96,866899;99,812617;99,954587;96,90701;102,127883;97,191401;99,983721;98,773189
92;3908,0;99,831162;96,816304;99,782784;99,964154;96,88706;102,126385;97,161628;99,975151;98,778359
93;3907,0;99,866994;96,779879;99,75975;99,980789;96,87201;102,123123;97,158416;99,955551;98,788451
94;3906,0;99,888204;96,762812;99,746023;99,97863;96,862297;102,096479;97,172619;99,922;98,782803
95;3905,0;99,871085;96,76668;99,742027;99,942258;96,859643;102,040293;97,193648;99,883002;98,756425
96;3904,0;99,82171;96,784686;99,747447;99,890246;96,860337;101,989233;97,219625;99,862127;98,730931
97;3903,0;99,779989;96,80648;99,761941;99,867019;96,859286;102,003515;97,259536;99,887602;98,737938
98;3902,0;99,783335;96,831282;99,782266;99,899972;96,862286;102,105014;97,317115;99,965522;98,787399
99;3901,0;99,826206;96,864817;99,79998;99,968149;96,883823;102,241531;97,373623;100,063019;98,85656
100;3900,0;99,86831;96,901759;99,805406;100,022348;96,927662;102,332156;97,396515;100,128865;98,909928
101;3899,0;99,881144;96,922976;99,794643;100,034065;96,97595;102,342623;97,370897;100,136098;98,927786
